id_eje,ejecutora_nombre,year,ind_eje,propim,proinv,pim,devengado,certificado,compromiso_anual,inverre,pim_total,invtot
MUNICIPALIDAD DISTRITAL DE ANANEA,MUNICIPALIDAD DISTRITAL DE ANANEA,2024,.97481275,.57024115,.66666669,6310274,6151335.52,6267065.080000001,6202907.52,28,11065974,42
MUNICIPALIDAD DISTRITAL DE ANAPIA,MUNICIPALIDAD DISTRITAL DE ANAPIA,2022,.66940778,.14794047,.66666669,395556,264788.26,343288.26,334988.26,8,2673751,12
MUNICIPALIDAD DISTRITAL DE ANAPIA,MUNICIPALIDAD DISTRITAL DE ANAPIA,2023,.92154264,.30238611,.5,262707,242095.7,244096.2,244095.7,3,868780,6
MUNICIPALIDAD DISTRITAL DE ANAPIA,MUNICIPALIDAD DISTRITAL DE ANAPIA,2024,.75868291,.24122162,.33333334,252622,191660,205350,197660,2,1047261,6
MUNICIPALIDAD DISTRITAL DE ANCAHUASI,MUNICIPALIDAD DISTRITAL DE ANCAHUASI,2022,.79126847,.56739569,.84444445,12442878,9845657.030000001,11769640.6,10234953.5,38,21929807,45
MUNICIPALIDAD DISTRITAL DE ANCAHUASI,MUNICIPALIDAD DISTRITAL DE ANCAHUASI,2023,.85509771,.29799426,.93333334,15518589,13269910.21,14424816.1,13598796.57,28,52076806,30
MUNICIPALIDAD DISTRITAL DE ANCAHUASI,MUNICIPALIDAD DISTRITAL DE ANCAHUASI,2024,.92381871,.33762887,.89285713,11371599,10505296.03,11364753.69,11252958.2,25,33680767,28
MUNICIPALIDAD DISTRITAL DE ANCHIHUAY,MUNICIPALIDAD DISTRITAL DE ANCHIHUAY,2022,.61768264,.4490957,.8125,8101792,5004336.39,7884740.19,5024436.39,26,18040235,32
MUNICIPALIDAD DISTRITAL DE ANCHIHUAY,MUNICIPALIDAD DISTRITAL DE ANCHIHUAY,2023,.38586941,.94486165,.85000002,8787646,3390883.7,4797885.109999999,4106151.08,17,9300458,20
MUNICIPALIDAD DISTRITAL DE ANCHIHUAY,MUNICIPALIDAD DISTRITAL DE ANCHIHUAY,2024,.1963203,.7818327,.87096775,12452418,2444662.4,9688376.66,9608376.66,27,15927216,31
MUNICIPALIDAD DISTRITAL DE ANCHONGA,MUNICIPALIDAD DISTRITAL DE ANCHONGA,2022,.7870329,.26560202,.69696969,2908247,2288886.06,2508082.51,2336883.91,23,10949642,33
MUNICIPALIDAD DISTRITAL DE ANCHONGA,MUNICIPALIDAD DISTRITAL DE ANCHONGA,2023,.560103,.68277252,.72222221,2199267,1231816.03,2082115.64,1328169.38,26,3221083,36
MUNICIPALIDAD DISTRITAL DE ANCHONGA,MUNICIPALIDAD DISTRITAL DE ANCHONGA,2024,.34959301,.37372079,.72727275,3311256,1157592,1988253.03,1614543.9,16,8860240,22
MUNICIPALIDAD DISTRITAL DE ANCO,MUNICIPALIDAD DISTRITAL DE ANCO,2022,.56427592,.81572205,.75238097,16037694,9049684.32,15250877.34,10099494.52,79,19660734,105
MUNICIPALIDAD DISTRITAL DE ANCO,MUNICIPALIDAD DISTRITAL DE ANCO,2023,.5186587,.9063108,.87912089,19255051,9986800.200000001,11382739.53,10222010.91,80,21245527,91
MUNICIPALIDAD DISTRITAL DE ANCO,MUNICIPALIDAD DISTRITAL DE ANCO,2024,.71431834,.57510573,.82407409,13057390,9327132.74,11292532.35,10667406.24,89,22704330,108
MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,2022,.49754432,.3478137,.94736844,9038708,4497157.86,6983663.299999999,5922202.660000001,36,25987212,38
MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,2023,.85507828,.29758894,.95238096,5054239,4321769.880000001,4374919.880000001,4329919.880000001,40,16983961,42
MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,2024,.29659382,.490015,.80952382,3259811,966839.77,3014605.32,968339.77,17,6652472,21
MUNICIPALIDAD DISTRITAL DE ANCON,MUNICIPALIDAD DISTRITAL DE ANCON,2022,.87085003,.88461512,.93333334,4199735,3657339.459999999,4081905.49,3681472.38,28,4747528,30
MUNICIPALIDAD DISTRITAL DE ANCON,MUNICIPALIDAD DISTRITAL DE ANCON,2023,.82772195,.87577915,.86666667,4277568,3540636.99,4186405.26,4050088.870000001,26,4884300,30
MUNICIPALIDAD DISTRITAL DE ANCON,MUNICIPALIDAD DISTRITAL DE ANCON,2024,.74196368,.93917501,.82222223,6253694,4640013.66,5922762.959999999,5155285.100000001,37,6658710,45
MUNICIPALIDAD DISTRITAL DE ANDABAMBA,MUNICIPALIDAD DISTRITAL DE ANDABAMBA,2022,.81400406,.20243523,.63333333,1993854,1623005.28,1703759.34,1653432.16,19,9849343,30
MUNICIPALIDAD DISTRITAL DE ANDABAMBA,MUNICIPALIDAD DISTRITAL DE ANDABAMBA,2023,.76962972,.13993633,.60000002,1369777,1054221.11,1129131.84,1129121.84,15,9788573,25
MUNICIPALIDAD DISTRITAL DE ANDABAMBA,MUNICIPALIDAD DISTRITAL DE ANDABAMBA,2024,.74163812,.19540986,.69999999,1046165,775875.84,918608.0699999999,870870.74,21,5353696,30
MUNICIPALIDAD DISTRITAL DE ANDAGUA,MUNICIPALIDAD DISTRITAL DE ANDAGUA,2022,.80460459,.3426156,.92307693,2302502,1852603.71,2214501.47,2076674.87,24,6720365,26
